DATE,TIME GPS,,X,Y,H,Distance,Vitesse 3D,velocity_md
16/08/2019,06:06,16/08/2019 06:06,1104555.36,2628870.8,2869.31,0,,0
01/09/2019,12:29,01/09/2019 12:29,1104555.43,2628870.74,2869.25,0.106209149,6.5,0.065295854
15/09/2019,12:35,15/09/2019 12:35,1104555.51,2628870.7,2869.2,0.208775587,7.3,0.073238049
01/10/2019,12:29,01/10/2019 12:29,1104555.58,2628870.64,2869.14,0.323073976,7.1,0.07145672
15/10/2019,12:29,15/10/2019 12:29,1104555.63,2628870.61,2869.1,0.389235715,4.7,0.047258385
01/11/2019,12:59,01/11/2019 12:59,1104555.68,2628870.56,2869.04,0.485333106,5.6,0.056458688
15/11/2019,13:12,15/11/2019 13:12,1104555.72,2628870.52,2869,0.548322112,4.5,0.044961734
01/12/2019,12:29,01/12/2019 12:29,1104555.76,2628870.49,2868.97,0.61094398,3.9,0.039212935
15/12/2019,12:29,15/12/2019 12:29,1104555.82,2628870.42,2868.95,0.690557076,5.7,0.056866497
01/01/2020,12:29,01/01/2020 12:29,1104555.87,2628870.38,2868.93,0.760971737,4.1,0.041420389
15/01/2020,12:29,15/01/2020 12:29,1104555.9,2628870.35,2868.91,0.803091506,3,0.030085549
01/02/2020,12:29,01/02/2020 12:29,1104555.93,2628870.33,2868.87,0.859959921,3.3,0.033452009
15/02/2020,12:29,15/02/2020 12:29,1104555.95,2628870.3,2868.85,0.896597512,2.6,0.026169708
01/03/2020,12:29,01/03/2020 12:29,1104555.98,2628870.29,2868.83,0.935210479,2.6,0.025741978
15/03/2020,11:56,15/03/2020 11:56,1104556,2628870.27,2868.81,0.968098497,2.4,0.023529639
01/04/2020,12:07,01/04/2020 12:07,1104556.03,2628870.25,2868.79,1.00966575,2.4,0.024440434
15/04/2020,12:29,15/04/2020 12:29,1104556.04,2628870.23,2868.77,1.038126024,2,0.02030679
01/05/2020,12:29,01/05/2020 12:29,1104556.06,2628870.22,2868.74,1.07187323,2.1,0.021092004
15/05/2020,12:29,15/05/2020 12:29,1104556.09,2628870.19,2868.73,1.112257685,2.9,0.028846039
01/06/2020,12:29,01/06/2020 12:29,1104556.12,2628870.16,2868.7,1.163944769,3,0.030404167
15/06/2020,12:29,15/06/2020 12:29,1104556.15,2628870.15,2868.67,1.206289227,3,0.030246041
01/07/2020,12:29,01/07/2020 12:29,1104556.19,2628870.11,2868.64,1.269249966,3.9,0.039350462
15/07/2020,12:29,15/07/2020 12:29,1104556.22,2628870.08,2868.61,1.325427644,4,0.040126913
01/08/2020,12:29,01/08/2020 12:29,1104556.29,2628870.03,2868.55,1.425664288,5.9,0.058962732
15/08/2020,12:29,15/08/2020 12:29,1104556.36,2628869.97,2868.5,1.528396254,7.3,0.073379976
31/08/2020,13:44,31/08/2020 13:44,1104556.45,2628869.89,2868.4,1.685525342,9.8,0.097887037
15/09/2020,12:29,15/09/2020 12:29,1104556.54,2628869.81,2868.33,1.825772624,9.4,0.093823966
01/10/2020,12:29,01/10/2020 12:29,1104556.62,2628869.72,2868.25,1.969448999,9,0.089797734
15/10/2020,12:29,15/10/2020 12:29,1104556.68,2628869.67,2868.18,2.06502916,6.8,0.068271544
01/11/2020,11:50,01/11/2020 11:50,1104556.74,2628869.61,2868.13,2.166357152,6,0.059698764
15/11/2020,12:59,15/11/2020 12:59,1104556.79,2628869.57,2868.09,2.242649185,5.4,0.054309583
01/12/2020,12:07,01/12/2020 12:07,1104556.84,2628869.53,2868.05,2.321580169,4.9,0.049443065
15/12/2020,12:22,15/12/2020 12:22,1104556.87,2628869.49,2868.02,2.378446278,4.1,0.040587854
31/12/2020,12:14,31/12/2020 12:14,1104556.92,2628869.46,2867.98,2.442575081,4,0.04009412
15/01/2021,12:24,15/01/2021 12:24,1104556.95,2628869.44,2867.95,2.490725305,3.2,0.032085203
01/02/2021,19:51,01/02/2021 19:51,1104556.98,2628869.41,2867.93,2.540437775,2.9,0.028718487
15/02/2021,14:14,15/02/2021 14:14,1104557,2628869.39,2867.9,2.581538469,3,0.029857485
01/03/2021,13:41,01/03/2021 13:41,1104557.03,2628869.37,2867.88,2.619873974,2.7,0.027426718
15/03/2021,14:21,15/03/2021 14:21,1104557.05,2628869.35,2867.86,2.652083578,2.3,0.022961302
31/03/2021,04:29,31/03/2021 04:29,1104557.07,2628869.33,2867.84,2.686603465,2.2,0.022144398
15/04/2021,12:23,15/04/2021 12:23,1104557.09,2628869.32,2867.82,2.720356821,2.2,0.022018498
01/05/2021,11:59,01/05/2021 11:59,1104557.11,2628869.31,2867.8,2.747192378,1.7,0.01679011
15/05/2021,12:48,15/05/2021 12:48,1104557.13,2628869.29,2867.78,2.781118225,2.4,0.024173883
01/06/2021,12:29,01/06/2021 12:29,1104557.15,2628869.27,2867.76,2.821610667,2.4,0.023837674
15/06/2021,12:12,15/06/2021 12:12,1104557.18,2628869.25,2867.74,2.862011286,2.9,0.028880726
01/07/2021,12:13,01/07/2021 12:13,1104557.21,2628869.22,2867.7,2.918732614,3.5,0.035450154
15/07/2021,12:38,15/07/2021 12:38,1104557.24,2628869.19,2867.67,2.972389619,3.8,0.038279258
01/08/2021,12:29,01/08/2021 12:29,1104557.3,2628869.13,2867.61,3.074489659,6,0.060081256
15/08/2021,12:29,15/08/2021 12:29,1104557.37,2628869.05,2867.56,3.188443644,8.1,0.081395704
01/09/2021,12:29,01/09/2021 12:29,1104557.46,2628868.95,2867.46,3.351222231,9.6,0.09575211
15/09/2021,12:34,15/09/2021 12:34,1104557.54,2628868.89,2867.37,3.484482441,9.5,0.095160118
01/10/2021,12:04,01/10/2021 12:04,1104557.74,2628868.47,2867.03,4.035891702,34.5,0.345083668
15/10/2021,12:09,15/10/2021 12:09,1104557.81,2628868.38,2866.93,4.184807384,10.6,0.106338322
15/11/2021,12:29,15/11/2021 12:29,1104557.88,2628868.33,2866.84,4.304917104,3.9,0.038728508
01/12/2021,12:29,01/12/2021 12:29,1104557.92,2628868.29,2866.83,4.359343346,3.4,0.034016401
15/12/2021,12:29,15/12/2021 12:29,1104557.96,2628868.26,2866.81,4.408109809,3.5,0.034833188
01/01/2022,12:29,01/01/2022 12:29,1104557.99,2628868.23,2866.78,4.461596395,3.1,0.031462698
15/01/2022,12:29,15/01/2022 12:29,1104558.01,2628868.22,2866.76,4.495489694,2.4,0.024209499
01/02/2022,12:29,01/02/2022 12:29,1104558.04,2628868.19,2866.73,4.540378946,2.6,0.026405442
15/02/2022,12:14,15/02/2022 12:14,1104558.06,2628868.18,2866.72,4.563953318,1.7,0.01685083
01/03/2022,12:19,01/03/2022 12:19,1104558.07,2628868.17,2866.7,4.592499763,2,0.020385042
15/03/2022,12:29,15/03/2022 12:29,1104558.09,2628868.15,2866.69,4.620905034,2,0.020280294
01/04/2022,12:17,01/04/2022 12:17,1104558.11,2628868.15,2866.67,4.642829212,1.3,0.012902763
15/04/2022,12:14,15/04/2022 12:14,1104558.12,2628868.13,2866.66,4.66817466,1.8,0.018106234
01/05/2022,12:51,01/05/2022 12:51,1104558.14,2628868.11,2866.64,4.695220419,1.7,0.016876847
15/05/2022,13:20,15/05/2022 13:20,1104558.16,2628868.1,2866.63,4.721084761,1.8,0.018447404
31/05/2022,12:29,31/05/2022 12:29,1104558.18,2628868.08,2866.6,4.755761062,2.2,0.021721541
15/06/2022,12:25,15/06/2022 12:25,1104558.21,2628868.04,2866.57,4.814382013,3.9,0.039087715
30/06/2022,12:07,30/06/2022 12:07,1104558.28,2628867.93,2866.45,4.992506725,11.9,0.118846181
15/07/2022,13:14,15/07/2022 13:14,1104558.39,2628867.84,2866.34,5.175550908,12.2,0.121655317
31/07/2022,12:29,31/07/2022 12:29,1104558.66,2628866.88,2865.28,6.519432473,84.2,0.841569669
15/08/2022,12:41,15/08/2022 12:41,1104558.71,2628866.75,2865.09,6.736169224,14.4,0.144405212
31/08/2022,14:09,31/08/2022 14:09,1104558.76,2628866.63,2864.95,6.925902185,11.8,0.118133276
15/09/2022,12:29,15/09/2022 12:29,1104558.8,2628866.53,2864.87,7.0564732,8.7,0.087454608
01/10/2022,12:29,01/10/2022 12:29,1104558.84,2628866.47,2864.78,7.166365877,6.9,0.068682923
15/10/2022,12:56,15/10/2022 12:56,1104558.88,2628866.38,2864.7,7.293374552,9.1,0.090597388
31/10/2022,13:09,31/10/2022 13:09,1104558.93,2628866.28,2864.62,7.426145536,8.3,0.082933208
15/11/2022,12:26,15/11/2022 12:26,1104558.97,2628866.24,2864.58,7.495867012,4.7,0.046575075
30/11/2022,12:04,30/11/2022 12:04,1104559.01,2628866.21,2864.54,7.55858666,4.2,0.041854873
15/12/2022,12:15,15/12/2022 12:15,1104559.05,2628866.18,2864.52,7.610909431,3.5,0.034864659
01/01/2023,12:51,01/01/2023 12:51,1104559.09,2628866.16,2864.49,7.657353367,2.7,0.027280056
15/01/2023,12:45,15/01/2023 12:45,1104559.11,2628866.13,2864.45,7.711723853,3.9,0.038847258
01/02/2023,12:29,01/02/2023 12:29,1104559.14,2628866.11,2864.44,7.747873099,2.1,0.021278486
15/02/2023,12:25,15/02/2023 12:25,1104559.17,2628866.09,2864.42,7.784501423,2.6,0.026168167
01/03/2023,12:29,01/03/2023 12:29,1104559.19,2628866.08,2864.4,7.81290634,2,0.020285289
15/03/2023,14:29,15/03/2023 14:29,1104559.2,2628866.06,2864.37,7.847267429,2.4,0.024398406
01/04/2023,12:29,01/04/2023 12:29,1104559.23,2628866.05,2864.36,7.878204294,1.8,0.018287802
15/04/2023,12:29,15/04/2023 12:29,1104559.25,2628866.03,2864.35,7.902591222,1.7,0.017419234
01/05/2023,12:56,01/05/2023 12:56,1104559.26,2628866.03,2864.31,7.927020108,1.5,0.015249924
15/05/2023,11:45,15/05/2023 11:45,1104559.27,2628866,2864.31,7.958497839,2.3,0.02256359
01/06/2023,12:29,01/06/2023 12:29,1104559.29,2628865.98,2864.29,7.995294333,2.2,0.021606482
15/06/2023,12:29,15/06/2023 12:29,1104559.32,2628865.95,2864.26,8.044585827,3.5,0.03520821
01/07/2023,12:29,01/07/2023 12:29,1104559.34,2628865.91,2864.22,8.103202679,3.7,0.036635533
15/07/2023,12:30,15/07/2023 12:30,1104559.37,2628865.87,2864.18,8.166410239,4.5,0.045145336
31/07/2023,12:29,31/07/2023 12:29,1104559.41,2628865.8,2864.09,8.280700283,7.1,0.071435322
15/08/2023,12:50,15/08/2023 12:50,1104559.44,2628865.75,2864.04,8.367633708,5.8,0.057898178
31/08/2023,12:39,31/08/2023 12:39,1104559.49,2628865.47,2863.79,8.715760223,21.8,0.217678458
15/09/2023,00:49,15/09/2023 00:49,1104559.51,2628865.27,2863.58,8.977922989,18.1,0.18071867
